Wall time,Step,Value
1712805125.9237435,27,0.45449385046958923
1712805130.67403,28,0.3797372281551361
1712805159.7395358,34,0.1738911122083664
1712805178.3968413,38,0.3316799998283386
1712805183.1287458,39,0.3152519464492798
1712805197.640112,42,0.0938447043299675
1712805202.39089,43,0.35359418392181396
1712805207.106908,44,0.34666886925697327
1712805216.4746656,46,0.08245561271905899
1712805221.1880631,47,0.30642178654670715
1712805235.6300862,50,0.1165875568985939
1712805240.6865933,51,0.32250407338142395
1712805293.605558,62,0.04859281703829765
1712805303.2991154,64,0.9412011504173279
1712805337.387101,71,0.20684798061847687
1712805342.060059,72,0.19258500635623932
1712805346.731045,73,0.21854746341705322
1712805356.444242,75,0.20130646228790283
1712805370.6415753,78,0.6511468291282654
1712805384.725771,81,0.329060435295105
1712805398.8535373,84,0.20837824046611786
1712805403.6024926,85,0.2009340524673462
1712805408.3564053,86,0.0969422459602356
1712805413.0935562,87,0.07841307669878006
1712805421.9327402,89,0.43498119711875916
1712805426.5937588,90,0.0997704267501831
1712805431.657783,91,0.14694464206695557
1712805436.3705351,92,0.06233417987823486
1712805445.7420533,94,0.0686631053686142
1712805449.8179932,95,0.12729644775390625
1712805479.065327,101,0.6743993163108826
1712805488.5319052,103,0.6931259632110596
1712805493.2022533,104,0.29841476678848267
1712805502.639622,106,0.19809526205062866
1712805516.6405127,109,0.290859192609787
1712805536.111367,113,0.3770116865634918
1712805585.4948719,123,0.057311221957206726
1712805590.2607694,124,0.24492307007312775
1712805605.0350761,127,0.3643012046813965
1712805620.223827,130,0.1419645994901657
1712805624.8662128,131,0.024100204929709435
1712805634.6298275,133,0.06508687883615494
1712805668.363456,140,0.5573320388793945
1712805691.774928,145,0.0765378549695015
1712805711.094844,149,0.1430502086877823
1712805715.7671256,150,0.03756380453705788
1712805724.9878528,152,0.07770407199859619
1712805734.6789393,154,0.5186375975608826
1712805739.3375506,155,0.08691146224737167
1712805762.951989,160,0.09796742349863052
1712805767.7546256,161,0.07930174469947815
1712805801.501403,168,0.5035350322723389
1712805811.684877,170,0.5956601500511169
1712805816.3203046,171,0.24060063064098358
1712805830.981093,174,0.4544394016265869
1712805864.1644561,181,0.5148502588272095
1712805878.5721164,184,0.546219527721405
1712805887.9400985,186,0.18892234563827515
1712805896.825221,188,0.09757424145936966
